epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7123,1.08152,2.23782,1.40132,0.00349,0.16587,0.00348,0.00109,3.53132,33.9236,21.9919,0.000470226,0.000470226,0.000470226
2,103.429,1.30817,2.06696,1.54973,0.08305,0.20359,0.02276,0.00811,3.07537,4.72147,4.03256,0.000937189,0.000937189,0.000937189
3,123.956,1.29572,1.95137,1.54836,0.13182,0.27142,0.03639,0.01355,2.48682,11.4501,3.9464,0.00139472,0.00139472,0.00139472
4,144.309,1.22836,1.71383,1.49286,0.47305,0.51948,0.41501,0.26139,1.402,2.16777,1.92663,0.00138656,0.00138656,0.00138656
5,165.081,1.177,1.62342,1.46591,0.43606,0.36435,0.34035,0.17389,1.6327,2.51402,2.14769,0.00137241,0.00137241,0.00137241
6,184.614,1.12687,1.50695,1.42619,0.5496,0.47698,0.44275,0.30436,1.34713,2.09369,1.74224,0.00135826,0.00135826,0.00135826
7,204.907,1.0864,1.43171,1.38029,0.65903,0.55661,0.6058,0.42231,1.14391,1.4213,1.45804,0.00134412,0.00134412,0.00134412
8,226.071,1.03838,1.36246,1.35905,0.53728,0.51836,0.50144,0.35697,1.18778,1.92631,1.54731,0.00132997,0.00132997,0.00132997
9,245.408,1.0302,1.3465,1.35693,0.4984,0.54829,0.46166,0.32883,1.13709,1.83906,1.47726,0.00131582,0.00131582,0.00131582
10,264.789,1.00241,1.26308,1.32743,0.65504,0.61076,0.66671,0.51627,0.941,1.1514,1.3142,0.00130168,0.00130168,0.00130168
11,285.997,0.97491,1.21575,1.30167,0.66171,0.7413,0.71551,0.54578,0.95956,1.10779,1.2931,0.00128753,0.00128753,0.00128753
12,306.312,0.97007,1.17538,1.30194,0.73145,0.65438,0.7408,0.57327,0.92976,1.15616,1.3354,0.00127338,0.00127338,0.00127338
13,326.697,0.93894,1.13488,1.29245,0.73064,0.71247,0.74911,0.56933,0.93679,1.0026,1.2636,0.00125923,0.00125923,0.00125923
14,346.073,0.93557,1.11525,1.27484,0.78457,0.72742,0.76793,0.59783,0.9277,0.92643,1.30144,0.00124509,0.00124509,0.00124509
15,366.289,0.9234,1.06888,1.27237,0.765,0.74285,0.77832,0.59881,0.94323,0.94679,1.29918,0.00123094,0.00123094,0.00123094
16,386.831,0.90634,1.07447,1.25731,0.75106,0.7718,0.78418,0.62673,0.7994,0.85315,1.18635,0.00121679,0.00121679,0.00121679
17,407.196,0.86867,1.02842,1.23222,0.76217,0.7184,0.75594,0.5958,0.84403,0.99674,1.21237,0.00120265,0.00120265,0.00120265
18,426.768,0.8888,1.04639,1.24905,0.76121,0.7438,0.78338,0.60885,0.8536,0.93042,1.23802,0.0011885,0.0011885,0.0011885
19,446.324,0.87876,1.00619,1.24002,0.73345,0.78679,0.76261,0.61031,0.83222,0.8646,1.20224,0.00117435,0.00117435,0.00117435
20,465.853,0.84482,0.94887,1.21313,0.7137,0.7695,0.7635,0.6126,0.83727,0.83566,1.20685,0.00116021,0.00116021,0.00116021
21,485.395,0.85826,0.96465,1.23146,0.74353,0.65682,0.7304,0.56962,0.86447,1.12976,1.25023,0.00114606,0.00114606,0.00114606
22,504.946,0.86347,0.99158,1.23193,0.75704,0.69349,0.76456,0.59191,0.92044,1.00322,1.29562,0.00113191,0.00113191,0.00113191
23,524.332,0.82503,0.9025,1.19795,0.65664,0.74188,0.72984,0.57011,0.88428,1.04829,1.25444,0.00111776,0.00111776,0.00111776
24,543.694,0.84597,0.94705,1.22328,0.7576,0.65007,0.71738,0.54944,0.91573,1.0682,1.28084,0.00110362,0.00110362,0.00110362
25,563.076,0.82396,0.92396,1.19972,0.76524,0.67158,0.77809,0.63055,0.81679,0.93788,1.18402,0.00108947,0.00108947,0.00108947
26,583.407,0.81922,0.88118,1.19853,0.76715,0.7877,0.79194,0.6285,0.85232,0.81285,1.22389,0.00107532,0.00107532,0.00107532
27,602.832,0.80791,0.86735,1.17697,0.70657,0.80147,0.81468,0.65247,0.7863,0.86948,1.15648,0.00106118,0.00106118,0.00106118
28,623.253,0.82158,0.86476,1.19127,0.78395,0.78254,0.83705,0.67359,0.81454,0.80528,1.20961,0.00104703,0.00104703,0.00104703
29,643.339,0.80673,0.83589,1.19094,0.82343,0.81244,0.83705,0.6628,0.82911,0.74031,1.18024,0.00103288,0.00103288,0.00103288
30,662.827,0.78129,0.80164,1.16848,0.70654,0.76228,0.77442,0.62171,0.81314,0.94744,1.17935,0.00101873,0.00101873,0.00101873
31,682.326,0.77754,0.81147,1.16491,0.74913,0.74677,0.80014,0.65899,0.773,0.82802,1.16172,0.00100459,0.00100459,0.00100459
32,701.825,0.7816,0.83035,1.16429,0.82807,0.79512,0.82822,0.67165,0.80479,0.7193,1.19861,0.00099044,0.00099044,0.00099044
33,721.144,0.76108,0.79172,1.15835,0.77951,0.6981,0.80852,0.64039,0.82929,0.86436,1.18843,0.000976293,0.000976293,0.000976293
34,740.591,0.78874,0.77497,1.17772,0.79422,0.79417,0.81854,0.65221,0.81987,0.75379,1.1956,0.000962146,0.000962146,0.000962146
35,760.048,0.76859,0.77943,1.16183,0.81813,0.76799,0.84637,0.68703,0.7668,0.72762,1.14897,0.000947999,0.000947999,0.000947999
36,780.54,0.77184,0.77565,1.1652,0.74879,0.7948,0.81859,0.67646,0.72344,0.74957,1.11351,0.000933851,0.000933851,0.000933851
37,800.008,0.76782,0.74679,1.16197,0.7679,0.8008,0.82138,0.67511,0.74824,0.78397,1.13505,0.000919704,0.000919704,0.000919704
38,819.412,0.76213,0.76749,1.16476,0.73398,0.81085,0.81978,0.66724,0.77929,0.80813,1.14755,0.000905557,0.000905557,0.000905557
39,838.724,0.74617,0.7383,1.14796,0.79336,0.73799,0.83203,0.68413,0.77698,0.78229,1.12689,0.00089141,0.00089141,0.00089141
40,858.114,0.73972,0.70983,1.13973,0.80689,0.75353,0.82301,0.67424,0.75732,0.77656,1.13548,0.000877263,0.000877263,0.000877263
41,877.427,0.73633,0.70047,1.14245,0.79039,0.79026,0.83433,0.67401,0.7651,0.71923,1.13901,0.000863116,0.000863116,0.000863116
42,896.81,0.73027,0.67716,1.13446,0.73817,0.81557,0.83265,0.68555,0.76783,0.76299,1.14448,0.000848969,0.000848969,0.000848969
43,916.178,0.71087,0.68323,1.12535,0.77615,0.8242,0.82404,0.65764,0.81612,0.78764,1.17606,0.000834822,0.000834822,0.000834822
44,935.499,0.71266,0.68365,1.12828,0.79265,0.83254,0.85753,0.68992,0.83108,0.68309,1.20998,0.000820675,0.000820675,0.000820675
45,955.624,0.72845,0.68272,1.14579,0.78423,0.80934,0.81661,0.66322,0.78119,0.72097,1.16119,0.000806528,0.000806528,0.000806528
46,974.994,0.71386,0.68406,1.12638,0.83112,0.80552,0.85493,0.70643,0.79028,0.66378,1.17054,0.00079238,0.00079238,0.00079238
47,995.163,0.74732,0.69911,1.15087,0.82472,0.80713,0.88176,0.72961,0.7305,0.65255,1.1265,0.000778233,0.000778233,0.000778233
48,1015.4,0.70501,0.65697,1.11632,0.79624,0.7907,0.80938,0.65756,0.75919,0.74422,1.14815,0.000764086,0.000764086,0.000764086
49,1034.73,0.68484,0.63938,1.10943,0.83611,0.80079,0.8633,0.71296,0.74266,0.64123,1.13962,0.000749939,0.000749939,0.000749939
50,1054.29,0.71449,0.65278,1.12521,0.80269,0.84838,0.86136,0.72731,0.70624,0.64676,1.11194,0.000735792,0.000735792,0.000735792
51,1073.66,0.69142,0.6093,1.10207,0.80676,0.78533,0.84149,0.69567,0.76803,0.71728,1.17925,0.000721645,0.000721645,0.000721645
52,1093.04,0.70221,0.64231,1.11329,0.76867,0.81489,0.8579,0.69032,0.79186,0.7514,1.19302,0.000707498,0.000707498,0.000707498
53,1112.35,0.70434,0.63129,1.12759,0.84579,0.78881,0.86934,0.72082,0.74065,0.66622,1.13736,0.000693351,0.000693351,0.000693351
54,1131.81,0.68854,0.61736,1.11097,0.80275,0.84773,0.88836,0.72793,0.7313,0.65438,1.12728,0.000679204,0.000679204,0.000679204
55,1151.14,0.68384,0.60447,1.09986,0.81652,0.83374,0.86822,0.7203,0.72939,0.63854,1.15614,0.000665057,0.000665057,0.000665057
56,1170.4,0.65786,0.58808,1.10464,0.80341,0.74015,0.84052,0.69292,0.72136,0.74923,1.11931,0.000650909,0.000650909,0.000650909
57,1190.01,0.68842,0.61137,1.10476,0.84624,0.78528,0.86497,0.7212,0.71311,0.61919,1.11233,0.000636762,0.000636762,0.000636762
58,1209.51,0.64856,0.58686,1.08527,0.81923,0.80486,0.86018,0.71542,0.73555,0.64969,1.1318,0.000622615,0.000622615,0.000622615
59,1228.87,0.65315,0.57939,1.08953,0.8132,0.84181,0.86777,0.71995,0.73853,0.64064,1.15333,0.000608468,0.000608468,0.000608468
60,1248.13,0.67457,0.58715,1.10375,0.84175,0.80286,0.85708,0.70521,0.7502,0.63759,1.14279,0.000594321,0.000594321,0.000594321
61,1267.46,0.65958,0.58814,1.09718,0.81695,0.81556,0.86064,0.71049,0.75091,0.67273,1.16474,0.000580174,0.000580174,0.000580174
62,1287.12,0.65808,0.57749,1.09588,0.76775,0.81165,0.85285,0.71624,0.72069,0.65105,1.13361,0.000566027,0.000566027,0.000566027
63,1306.66,0.66899,0.57091,1.09478,0.81852,0.83163,0.8747,0.73637,0.69207,0.59998,1.0922,0.00055188,0.00055188,0.00055188
64,1326.89,0.64891,0.55384,1.08283,0.74471,0.89946,0.86218,0.72218,0.68276,0.62879,1.08929,0.000537733,0.000537733,0.000537733
65,1346.11,0.6425,0.5544,1.08212,0.84471,0.78868,0.86646,0.72156,0.74563,0.66716,1.14331,0.000523586,0.000523586,0.000523586
66,1365.59,0.65436,0.55501,1.09673,0.78482,0.81349,0.8751,0.71972,0.76155,0.6613,1.14939,0.000509438,0.000509438,0.000509438
67,1384.87,0.62783,0.51884,1.07188,0.87858,0.81085,0.89043,0.73732,0.71131,0.57856,1.12899,0.000495291,0.000495291,0.000495291
68,1406.03,0.64492,0.52868,1.08351,0.79037,0.7885,0.84564,0.70063,0.74647,0.68168,1.14918,0.000481144,0.000481144,0.000481144
69,1425.56,0.62716,0.53168,1.07666,0.83332,0.78085,0.85684,0.71172,0.72424,0.66138,1.14705,0.000466997,0.000466997,0.000466997
70,1444.95,0.6309,0.52942,1.07543,0.76185,0.78868,0.82613,0.67631,0.76335,0.72969,1.14659,0.00045285,0.00045285,0.00045285
71,1464.23,0.62736,0.51017,1.06393,0.80943,0.85291,0.87974,0.73464,0.72116,0.60129,1.12943,0.000438703,0.000438703,0.000438703
72,1483.7,0.62136,0.51756,1.06988,0.83762,0.84308,0.88406,0.72688,0.73858,0.62663,1.14265,0.000424556,0.000424556,0.000424556
73,1503.06,0.61241,0.49506,1.06623,0.82108,0.83797,0.88366,0.74265,0.70734,0.59248,1.11545,0.000410409,0.000410409,0.000410409
74,1523.21,0.61546,0.50288,1.07133,0.8313,0.85131,0.87903,0.73317,0.72822,0.61451,1.13956,0.000396262,0.000396262,0.000396262
75,1542.62,0.61934,0.48291,1.05828,0.79046,0.85692,0.87676,0.72896,0.71045,0.6157,1.11326,0.000382115,0.000382115,0.000382115
76,1562.04,0.60531,0.50062,1.06223,0.82199,0.86545,0.89306,0.74224,0.70727,0.57924,1.10816,0.000367967,0.000367967,0.000367967
77,1582.23,0.59767,0.49001,1.06051,0.79994,0.84319,0.8794,0.74076,0.69963,0.60445,1.11301,0.00035382,0.00035382,0.00035382
78,1601.78,0.613,0.4849,1.06851,0.87862,0.83577,0.89341,0.75718,0.68283,0.57105,1.09163,0.000339673,0.000339673,0.000339673
79,1621.88,0.59102,0.47981,1.04938,0.87059,0.81586,0.875,0.73522,0.71409,0.64821,1.11302,0.000325526,0.000325526,0.000325526
80,1641.46,0.60079,0.46616,1.06303,0.85926,0.8255,0.8831,0.74078,0.7013,0.61035,1.10062,0.000311379,0.000311379,0.000311379
81,1660.84,0.58481,0.45992,1.04664,0.81057,0.81546,0.8433,0.70929,0.69556,0.657,1.09901,0.000297232,0.000297232,0.000297232
82,1680.39,0.57931,0.45439,1.04185,0.76984,0.84418,0.86696,0.71663,0.70601,0.6637,1.10762,0.000283085,0.000283085,0.000283085
83,1699.87,0.58637,0.44666,1.05489,0.82266,0.84595,0.87773,0.73021,0.71508,0.60088,1.12013,0.000268938,0.000268938,0.000268938
84,1719.24,0.58387,0.44974,1.0453,0.82023,0.85625,0.8787,0.74407,0.69213,0.5903,1.09523,0.000254791,0.000254791,0.000254791
85,1738.61,0.56873,0.4467,1.03819,0.80037,0.82475,0.8691,0.73034,0.7073,0.66064,1.10838,0.000240644,0.000240644,0.000240644
86,1757.93,0.57199,0.45383,1.04346,0.8454,0.81992,0.87624,0.72893,0.73561,0.6018,1.12865,0.000226497,0.000226497,0.000226497
87,1777.37,0.56599,0.43379,1.04037,0.79615,0.85632,0.87153,0.72904,0.72138,0.57526,1.1429,0.000212349,0.000212349,0.000212349
88,1796.78,0.5648,0.43005,1.03503,0.80976,0.8464,0.86527,0.73572,0.69152,0.61342,1.1016,0.000198202,0.000198202,0.000198202
89,1816.01,0.55104,0.40962,1.02988,0.83493,0.79742,0.87265,0.73745,0.70879,0.629,1.10795,0.000184055,0.000184055,0.000184055
90,1835.33,0.55009,0.41644,1.03228,0.81398,0.84237,0.87653,0.73909,0.71289,0.60138,1.11513,0.000169908,0.000169908,0.000169908
91,1857.33,0.48014,0.33702,0.97167,0.84528,0.80625,0.88846,0.74545,0.68608,0.59047,1.10618,0.000155761,0.000155761,0.000155761
